feature_id,missing_rate,missing_count
CDE_ID_3226963,0.0397489539748954,19
_INTEGRATION,0.0,0
_PATIENT,0.0,0
_cohort,0.0,0
_primary_disease,0.0,0
_primary_site,0.0,0
additional_pharmaceutical_therapy,0.8430962343096234,403
additional_radiation_therapy,0.8493723849372385,406
additional_surgery_locoregional_procedure,0.9393305439330544,449
additional_surgery_metastatic_procedure,0.9184100418410042,439
age_at_initial_pathologic_diagnosis,0.08368200836820083,40
anatomic_neoplasm_subdivision,0.08786610878661087,42
antireflux_treatment,0.5397489539748954,258
antireflux_treatment_type,0.9079497907949791,434
barretts_esophagus,0.4769874476987448,228
bcr_followup_barcode,0.25313807531380755,121
bcr_patient_barcode,0.07322175732217573,35
bcr_sample_barcode,0.07740585774058577,37
city_of_procurement,0.15481171548117154,74
country_of_procurement,0.24476987447698745,117
days_to_additional_surgery_locoregional_procedure,0.997907949790795,477
days_to_additional_surgery_metastatic_procedure,0.9937238493723849,475
days_to_birth,0.09205020920502092,44
days_to_collection,0.6255230125523012,299
days_to_death,0.6443514644351465,308
days_to_initial_pathologic_diagnosis,0.08577405857740586,41
days_to_last_followup,0.25523012552301255,122
days_to_new_tumor_event_after_initial_treatment,0.8368200836820083,400
family_history_of_stomach_cancer,0.28451882845188287,136
followup_case_report_form_submission_reason,0.26778242677824265,128
followup_treatment_success,0.45188284518828453,216
form_completion_date,0.07740585774058577,37
gender,0.07322175732217573,35
h_pylori_infection,0.606694560669456,290
histological_type,0.07740585774058577,37
history_of_neoadjuvant_treatment,0.07322175732217573,35
icd_10,0.07322175732217573,35
icd_o_3_histology,0.07322175732217573,35
icd_o_3_site,0.07322175732217573,35
informed_consent_verified,0.07322175732217573,35
initial_weight,0.6234309623430963,298
intermediate_dimension,0.4581589958158996,219
is_ffpe,0.07740585774058577,37
longest_dimension,0.4581589958158996,219
lost_follow_up,0.3305439330543933,158
lymph_node_examined_count,0.1799163179916318,86
neoplasm_histologic_grade,0.07322175732217573,35
new_neoplasm_event_occurrence_anatomic_site,0.9121338912133892,436
new_neoplasm_event_type,0.8577405857740585,410
new_neoplasm_occurrence_anatomic_site_text,0.9665271966527197,462
new_tumor_event_after_initial_treatment,0.19874476987447698,95
number_of_lymphnodes_positive_by_he,0.1799163179916318,86
number_of_relatives_with_stomach_cancer,0.8410041841004184,402
oct_embedded,0.6234309623430963,298
other_dx,0.07322175732217573,35
pathologic_M,0.07322175732217573,35
pathologic_N,0.07322175732217573,35
pathologic_T,0.07322175732217573,35
pathologic_stage,0.10669456066945607,51
pathology_report_file_name,0.1108786610878661,53
patient_death_reason,0.7280334728033473,348
patient_id,0.07322175732217573,35
person_neoplasm_cancer_status,0.17154811715481172,82
primary_lymph_node_presentation_assessment,0.11715481171548117,56
primary_therapy_outcome_success,0.2301255230125523,110
progression_determined_by,0.899581589958159,430
radiation_therapy,0.17154811715481172,82
reflux_history,0.4602510460251046,220
residual_disease_post_new_tumor_event_margin_status,0.997907949790795,477
residual_tumor,0.13807531380753138,66
sample_type,0.0,0
sample_type_id,0.0,0
shortest_dimension,0.4581589958158996,219
system_version,0.07322175732217573,35
targeted_molecular_therapy,0.1799163179916318,86
tissue_prospective_collection_indicator,0.07322175732217573,35
tissue_retrospective_collection_indicator,0.07531380753138076,36
tissue_source_site,0.07322175732217573,35
tumor_tissue_site,0.07322175732217573,35
vial_number,0.07740585774058577,37
vital_status,0.07322175732217573,35
year_of_initial_pathologic_diagnosis,0.07531380753138076,36
_GENOMIC_ID_TCGA_STAD_mutation,0.6841004184100419,327
_GENOMIC_ID_TCGA_STAD_mutation_curated_broad_gene,0.39539748953974896,189
_GENOMIC_ID_TCGA_STAD_mutation_ucsc_maf_gene,0.8096234309623431,387
_GENOMIC_ID_TCGA_STAD_exp_GA_exon,0.9246861924686193,442
_GENOMIC_ID_TCGA_STAD_exp_HiSeqV2,0.13179916317991633,63
_GENOMIC_ID_TCGA_STAD_hMethyl27,0.8284518828451883,396
_GENOMIC_ID_TCGA_STAD_mutation_bcm_gene,0.20711297071129708,99
_GENOMIC_ID_TCGA_STAD_gistic2,0.07740585774058577,37
_GENOMIC_ID_TCGA_STAD_hMethyl450,0.17154811715481172,82
_GENOMIC_ID_data/public/TCGA/STAD/miRNA_GA_gene,0.9037656903765691,432
_GENOMIC_ID_TCGA_STAD_RPPA,0.25313807531380755,121
_GENOMIC_ID_TCGA_STAD_miRNA_HiSeq,0.1903765690376569,91
_GENOMIC_ID_TCGA_STAD_PDMRNAseqCNV,0.13598326359832635,65
_GENOMIC_ID_TCGA_STAD_gistic2thd,0.07740585774058577,37
_GENOMIC_ID_TCGA_STAD_exp_HiSeqV2_exon,0.13179916317991633,63
_GENOMIC_ID_TCGA_STAD_exp_HiSeq_exon,0.20502092050209206,98
_GENOMIC_ID_TCGA_STAD_exp_GA,0.9246861924686193,442
_GENOMIC_ID_TCGA_STAD_exp_HiSeqV2_PANCAN,0.13179916317991633,63
_GENOMIC_ID_TCGA_STAD_mutation_broad_gene,0.8096234309623431,387
_GENOMIC_ID_TCGA_STAD_PDMRNAseq,0.13179916317991633,63
_GENOMIC_ID_data/public/TCGA/STAD/miRNA_HiSeq_gene,0.1903765690376569,91
_GENOMIC_ID_TCGA_STAD_exp_HiSeqV2_percentile,0.13179916317991633,63
_GENOMIC_ID_TCGA_STAD_mutation_bcgsc_gene,0.8096234309623431,387
_GENOMIC_ID_TCGA_STAD_exp_HiSeq,0.20502092050209206,98
_GENOMIC_ID_TCGA_STAD_miRNA_GA,0.9037656903765691,432
