sample_barcode,patient_barcode,missing_count,missing_rate
TCGA-D7-A4YV-01,TCGA-D7-A4YV,1373,0.630394857667585
TCGA-CG-5728-01,TCGA-CG-5728,1287,0.5909090909090909
TCGA-CD-8530-01,TCGA-CD-8530,1411,0.647842056932966
TCGA-CD-A48A-01,TCGA-CD-A48A,1545,0.709366391184573
TCGA-EQ-A4SO-01,TCGA-EQ-A4SO,1578,0.7245179063360881
TCGA-BR-8683-01,TCGA-BR-8683,1450,0.6657483930211203
TCGA-CG-5734-01,TCGA-CG-5734,1233,0.5661157024793388
TCGA-BR-6457-01,TCGA-BR-6457,1335,0.6129476584022039
TCGA-HF-7132-01,TCGA-HF-7132,1422,0.6528925619834711
TCGA-CD-A4MG-01,TCGA-CD-A4MG,1443,0.662534435261708
TCGA-BR-A4QL-01,TCGA-BR-A4QL,1406,0.6455463728191001
TCGA-BR-8296-01,TCGA-BR-8296,1412,0.6483011937557392
TCGA-BR-8592-01,TCGA-BR-8592,1247,0.5725436179981634
TCGA-RD-A8N4-01,TCGA-RD-A8N4,1557,0.7148760330578512
TCGA-D7-6521-01,TCGA-D7-6521,1317,0.6046831955922864
TCGA-BR-8295-01,TCGA-BR-8295,1422,0.6528925619834711
TCGA-D7-5577-01,TCGA-D7-5577,1333,0.6120293847566575
TCGA-D7-A6F0-01,TCGA-D7-A6F0,1245,0.571625344352617
TCGA-BR-8364-01,TCGA-BR-8364,1419,0.6515151515151515
TCGA-CD-8534-01,TCGA-CD-8534,1467,0.6735537190082644
TCGA-FP-A9TM-01,TCGA-FP-A9TM,1250,0.573921028466483
TCGA-CG-4437-01,TCGA-CG-4437,1171,0.5376492194674013
TCGA-B7-5816-01,TCGA-B7-5816,1208,0.5546372819100092
TCGA-VQ-A91V-01,TCGA-VQ-A91V,1395,0.640495867768595
TCGA-VQ-A8PQ-01,TCGA-VQ-A8PQ,1345,0.6175390266299358
TCGA-CD-8524-01,TCGA-CD-8524,1421,0.6524334251606979
TCGA-BR-7722-01,TCGA-BR-7722,1514,0.6951331496786042
TCGA-HU-A4H4-01,TCGA-HU-A4H4,1433,0.6579430670339761
TCGA-VQ-A922-01,TCGA-VQ-A922,1207,0.554178145087236
TCGA-D7-6815-01,TCGA-D7-6815,1367,0.6276400367309458
TCGA-KB-A93J-01,TCGA-KB-A93J,1317,0.6046831955922864
TCGA-BR-6566-01,TCGA-BR-6566,1253,0.5752984389348026
TCGA-D7-A4YX-01,TCGA-D7-A4YX,1551,0.7121212121212122
TCGA-BR-8058-01,TCGA-BR-8058,1360,0.6244260789715336
TCGA-IN-8462-01,TCGA-IN-8462,1355,0.6221303948576676
TCGA-FP-A4BF-01,TCGA-FP-A4BF,1534,0.7043158861340679
TCGA-HU-8238-01,TCGA-HU-8238,1488,0.6831955922865014
TCGA-CG-5721-01,TCGA-CG-5721,1220,0.5601469237832875
TCGA-BR-6705-01,TCGA-BR-6705,1374,0.6308539944903582
TCGA-BR-8487-01,TCGA-BR-8487,1341,0.6157024793388429
TCGA-RD-A8N1-01,TCGA-RD-A8N1,1507,0.6919191919191919
TCGA-BR-8687-01,TCGA-BR-8687,1329,0.6101928374655647
TCGA-HU-A4GD-01,TCGA-HU-A4GD,1413,0.6487603305785123
TCGA-D7-8579-01,TCGA-D7-8579,1432,0.657483930211203
TCGA-VQ-A8P5-01,TCGA-VQ-A8P5,1288,0.5913682277318641
TCGA-VQ-A94U-01,TCGA-VQ-A94U,1359,0.6239669421487604
TCGA-CD-8528-01,TCGA-CD-8528,1536,0.7052341597796143
TCGA-BR-A4IY-01,TCGA-BR-A4IY,1385,0.6359044995408631
TCGA-ZQ-A9CR-01,TCGA-ZQ-A9CR,1380,0.6336088154269972
TCGA-IN-7808-01,TCGA-IN-7808,1492,0.6850321395775941
TCGA-D7-A748-01,TCGA-D7-A748,1392,0.6391184573002755
TCGA-BR-7707-01,TCGA-BR-7707,1384,0.63544536271809
TCGA-CD-A4MH-01,TCGA-CD-A4MH,1318,0.6051423324150597
TCGA-VQ-A8PF-01,TCGA-VQ-A8PF,1264,0.5803489439853077
