feature_id,missing_count,missing_rate
14-3-3_beta-R-V,0,0.0
14-3-3_epsilon-M-C,0,0.0
14-3-3_zeta-R-V,0,0.0
4E-BP1-R-V,0,0.0
4E-BP1_pS65-R-V,0,0.0
4E-BP1_pT37_T46-R-V,0,0.0
4E-BP1_pT70-R-V,0,0.0
53BP1-R-E,264,0.7394957983193278
A-Raf_pS299-R-C,0,0.0
ACC_pS79-R-V,0,0.0
ACC1-R-E,0,0.0
Acetyl-a-Tubulin-Lys40-R-C,0,0.0
ACVRL1-R-C,0,0.0
ADAR1-M-V,0,0.0
Akt-R-V,0,0.0
Akt_pS473-R-V,0,0.0
Akt_pT308-R-V,0,0.0
alpha-Catenin-M-V,0,0.0
AMPK_alpha-R-C,0,0.0
AMPK_pT172-R-V,0,0.0
Annexin-1-M-E,0,0.0
Annexin_VII-M-V,0,0.0
AR-R-V,0,0.0
DIRAS3-M-E,0,0.0
ASNS-R-V,0,0.0
ATM-R-E,0,0.0
B-Raf-M-C,0,0.0
Bad_pS112-R-V,0,0.0
Bak-R-C,264,0.7394957983193278
Bap1-c-4-M-E,0,0.0
Bax-R-V,0,0.0
Bcl-2-M-V,0,0.0
Bcl-xL-R-V,0,0.0
Beclin-G-C,0,0.0
beta-Catenin-R-V,0,0.0
Bid-R-C,0,0.0
Bim-R-V,0,0.0
BRCA2-R-C,0,0.0
c-Jun_pS73-R-V,0,0.0
c-Kit-R-V,0,0.0
c-Met-M-E,0,0.0
c-Met_pY1235-R-V,0,0.0
c-Myc-R-C,0,0.0
C-Raf-R-V,0,0.0
C-Raf_pS338-R-V,264,0.7394957983193278
Caspase-7_cleavedD198-R-C,0,0.0
Caspase-8-M-E,0,0.0
Caveolin-1-R-V,0,0.0
CD20-R-C,0,0.0
CD31-M-V,0,0.0
CD49b-M-V,0,0.0
CDK1-R-V,0,0.0
Chk1-M-C,264,0.7394957983193278
Chk1_pS345-R-C,0,0.0
Chk2-M-E,0,0.0
Chk2_pT68-R-C,264,0.7394957983193278
cIAP-R-V,0,0.0
Claudin-7-R-V,0,0.0
Collagen_VI-R-V,0,0.0
Cyclin_B1-R-V,0,0.0
Cyclin_D1-R-V,0,0.0
Cyclin_E1-M-V,0,0.0
Cyclin_E2-R-C,0,0.0
DJ-1-R-E,0,0.0
Dvl3-R-V,0,0.0
E-Cadherin-R-V,0,0.0
eEF2-R-C,0,0.0
eEF2K-R-V,0,0.0
EGFR-R-V,0,0.0
EGFR_pY1068-R-C,0,0.0
EGFR_pY1173-R-V,0,0.0
eIF4E-R-V,0,0.0
eIF4G-R-C,0,0.0
ER-alpha-R-V,0,0.0
ER-alpha_pS118-R-V,0,0.0
ERCC1-M-V,0,0.0
ERK2-R-E,0,0.0
ETS-1-R-V,0,0.0
FASN-R-V,0,0.0
Fibronectin-R-V,0,0.0
FoxM1-R-V,0,0.0
FOXO3a-R-C,0,0.0
FOXO3a_pS318_S321-R-C,0,0.0
G6PD-M-V,0,0.0
GAB2-R-V,0,0.0
GAPDH-M-C,0,0.0
GATA3-M-V,0,0.0
GSK3-alpha-beta-M-V,0,0.0
GSK3-alpha-beta_pS21_S9-R-V,0,0.0
GSK3_pS9-R-V,0,0.0
HER2-M-V,0,0.0
HER2_pY1248-R-C,0,0.0
HER3-R-V,0,0.0
HER3_pY1289-R-C,0,0.0
